Time (sec),Rotation_X (deg),Height_Z (mm)
8.467,-2.728,-5.271
8.500,-2.745,-5.380
8.533,-2.754,-5.486
8.567,-2.754,-5.486
8.600,-2.761,-5.563
8.633,-2.761,-5.563
8.667,-2.761,-5.563
8.700,-2.761,-5.563
8.733,-2.761,-5.563
8.767,-2.761,-5.563
8.800,-2.761,-5.563
8.833,-2.761,-5.563
8.867,-2.754,-5.603
8.900,-2.754,-5.603
8.933,-2.754,-5.603
8.967,-2.757,-5.615
9.000,-2.743,-5.641
9.033,-2.743,-5.641
9.067,-2.743,-5.641
9.100,-2.723,-5.660
9.133,-2.723,-5.660
9.167,-2.723,-5.660
9.200,-2.711,-5.665
9.233,-2.711,-5.665
9.267,-2.703,-5.661
9.300,-2.703,-5.661
9.333,-2.688,-5.669
9.367,-2.688,-5.669
9.400,-2.671,-5.671
9.433,-2.671,-5.671
9.467,-2.659,-5.679
9.500,-2.646,-5.699
9.533,-2.646,-5.699
9.567,-2.639,-5.720
9.600,-2.644,-5.751
9.633,-2.652,-5.798
9.667,-2.657,-5.844
9.700,-2.657,-5.844
9.733,-2.657,-5.844
9.767,-2.657,-5.844
9.800,-2.657,-5.844
9.833,-2.677,-5.911
9.867,-2.677,-5.911
9.900,-2.677,-5.911
9.933,-2.702,-5.986
9.967,-2.702,-5.986
10.000,-2.702,-5.986
10.033,-2.739,-6.065
10.067,-2.739,-6.065
10.100,-2.739,-6.065
10.133,-2.739,-6.065
10.167,-2.773,-6.168
10.200,-2.814,-6.269
10.233,-2.814,-6.269
10.267,-2.814,-6.269
10.300,-3.252,-5.463
10.333,-3.252,-5.657
10.367,-3.255,-5.833
10.400,-3.261,-5.999
10.433,-3.261,-5.999
10.467,-3.261,-5.999
10.500,-3.261,-5.999
10.533,-3.284,-6.162
10.567,-3.303,-6.316
10.600,-3.303,-6.316
10.633,-3.303,-6.316
10.667,-3.303,-6.316
10.700,-3.303,-6.316
10.733,-3.303,-6.316
10.767,-3.335,-6.485
10.800,-3.335,-6.485
10.833,-3.335,-6.485
10.867,-3.335,-6.485
10.900,-3.335,-6.485
10.933,-3.335,-6.485
10.967,-3.335,-6.485
11.000,-3.335,-6.485
11.033,-3.335,-6.485
11.067,-3.384,-6.674
11.100,-3.431,-6.852
11.133,-3.431,-6.852
11.167,-3.431,-6.852
11.233,-3.431,-6.852
11.267,-3.482,-7.032
11.300,-3.482,-7.032
11.333,-3.482,-7.032
11.367,-3.482,-7.032
11.400,-3.541,-7.215
11.433,-3.541,-7.215
11.467,-3.541,-7.215
11.500,-3.541,-7.215
11.533,-3.541,-7.215
