Time (sec),X (mm),Y (mm),Z (mm)
12.067,-24.781,0.195,-10.098
12.100,-24.790,-0.240,-10.099
12.133,-24.795,-0.682,-10.128
12.167,-24.812,-1.132,-10.166
12.200,-24.825,-1.584,-10.211
12.233,-24.847,-2.044,-10.243
12.267,-24.850,-2.481,-10.276
12.300,-24.823,-2.908,-10.270
12.333,-24.854,-3.322,-10.225
12.367,-24.869,-3.707,-10.224
12.400,-24.865,-4.056,-10.239
12.433,-24.878,-4.369,-10.259
12.467,-24.883,-4.653,-10.302
12.500,-24.894,-4.903,-10.357
12.533,-24.900,-5.124,-10.406
12.567,-24.921,-5.312,-10.391
12.600,-24.938,-5.469,-10.368
12.633,-24.976,-5.585,-10.363
12.667,-25.000,-5.676,-10.366
12.700,-25.027,-5.708,-10.320
12.733,-25.035,-5.687,-10.234
12.767,-25.073,-5.618,-10.162
12.800,-25.048,-5.513,-10.124
12.833,-25.051,-5.371,-10.085
12.867,-25.063,-5.209,-10.064
12.900,-25.074,-5.012,-9.988
12.933,-25.071,-4.777,-9.950
12.967,-25.070,-4.532,-9.956
13.000,-25.083,-4.260,-9.967
13.033,-25.042,-3.986,-9.970
13.067,-25.037,-3.684,-9.980
13.100,-25.019,-3.378,-9.920
13.133,-25.026,-3.042,-9.916
13.167,-25.037,-2.701,-9.889
13.200,-25.040,-2.364,-9.890
13.233,-25.019,-2.025,-9.824
13.267,-24.989,-1.681,-9.854
13.300,-24.962,-1.336,-9.841
13.333,-24.968,-0.986,-9.783
13.367,-24.969,-0.622,-9.761
13.400,-24.945,-0.262,-9.757
13.433,-24.916,0.108,-9.771
13.467,-24.888,0.475,-9.792
13.500,-24.871,0.864,-9.824
13.533,-24.883,1.269,-9.872
13.567,-24.887,1.674,-9.889
13.600,-24.881,2.098,-9.901
13.633,-24.894,2.520,-9.893
13.667,-24.915,2.956,-9.841
13.700,-24.906,3.389,-9.791
13.733,-24.904,3.829,-9.772
13.767,-24.907,4.272,-9.710
13.800,-24.919,4.721,-9.660
13.833,-24.908,5.166,-9.688
13.867,-24.911,5.590,-9.724
13.900,-24.890,5.971,-9.742
13.933,-24.864,6.362,-9.749
13.967,-24.835,6.741,-9.761
14.000,-24.809,7.106,-9.774
14.033,-24.763,7.437,-9.811
14.067,-24.745,7.743,-9.826
14.100,-24.700,8.021,-9.832
14.133,-24.683,8.279,-9.878
14.167,-24.663,8.523,-9.918
14.200,-24.640,8.757,-9.967
14.233,-24.625,8.981,-9.981
14.267,-24.600,9.201,-9.998
14.300,-24.598,9.410,-9.990
14.333,-24.580,9.618,-9.949
14.367,-24.551,9.813,-9.943
14.400,-24.544,10.001,-9.927
14.433,-24.518,10.177,-9.952
14.467,-24.493,10.342,-9.964
14.500,-24.506,10.502,-9.949
14.533,-24.492,10.667,-9.981
14.567,-24.464,10.822,-9.970
14.600,-24.436,10.977,-9.965
14.633,-24.431,11.135,-9.889
14.667,-24.389,11.280,-9.814
14.700,-24.335,11.432,-9.871
14.733,-24.311,11.573,-9.882
14.767,-24.282,11.702,-9.863
14.800,-24.247,11.841,-9.845
14.833,-24.202,11.966,-9.846
14.867,-24.187,12.088,-9.840
14.900,-24.165,12.214,-9.869
14.933,-24.127,12.349,-9.937
14.967,-24.059,12.487,-9.955
15.000,-24.038,12.623,-9.944
15.033,-23.984,12.764,-9.974
15.067,-23.952,12.897,-9.986
15.100,-23.929,13.039,-10.024
15.133,-23.901,13.173,-10.010
15.167,-23.875,13.319,-10.027
15.200,-23.842,13.461,-10.044
15.233,-23.807,13.613,-10.063
15.267,-23.785,13.756,-10.024
15.300,-23.759,13.897,-9.987
15.333,-23.709,14.043,-9.959
15.367,-23.681,14.186,-9.972
15.400,-23.656,14.329,-9.962
15.433,-23.625,14.469,-9.974
15.467,-23.590,14.615,-9.988
15.500,-23.567,14.752,-9.977
15.533,-23.503,14.876,-9.994
15.567,-23.434,15.010,-10.018
15.600,-23.399,15.140,-10.044
15.633,-23.348,15.274,-10.044
15.667,-23.335,15.396,-10.084
15.700,-23.295,15.531,-10.083
15.733,-23.258,15.670,-10.129
15.767,-23.215,15.813,-10.126
15.800,-23.185,15.962,-10.126
15.833,-23.136,16.103,-10.177
15.867,-23.078,16.243,-10.147
15.900,-23.028,16.380,-10.134
15.933,-22.968,16.511,-10.186
15.967,-22.917,16.641,-10.198
16.000,-22.876,16.762,-10.259
16.033,-22.816,16.887,-10.307
16.067,-22.742,17.017,-10.304
16.100,-22.699,17.151,-10.293
16.133,-22.660,17.279,-10.243
16.167,-22.638,17.413,-10.225
16.200,-22.615,17.542,-10.164
16.233,-22.551,17.659,-10.138
16.267,-22.527,17.782,-10.108
16.300,-22.489,17.894,-10.097
16.333,-22.452,17.998,-10.063
16.367,-22.393,18.091,-10.041
16.400,-22.336,18.175,-10.044
16.433,-22.274,18.253,-10.036
16.467,-22.245,18.327,-10.016
16.500,-22.208,18.393,-9.984
16.533,-22.177,18.450,-9.962
16.567,-22.142,18.504,-9.919
16.600,-22.094,18.549,-9.915
16.633,-22.050,18.589,-9.931
16.667,-22.025,18.628,-9.945
16.700,-22.008,18.661,-9.950
16.733,-21.996,18.689,-9.952
16.767,-21.987,18.715,-9.896
16.800,-21.971,18.740,-9.814
16.833,-21.957,18.777,-9.785
16.867,-21.940,18.806,-9.793
16.900,-21.927,18.831,-9.707
16.933,-21.915,18.854,-9.665
16.967,-21.893,18.879,-9.657
17.000,-21.868,18.904,-9.675
17.033,-21.831,18.925,-9.755
17.067,-21.818,18.944,-9.808
17.100,-21.796,18.959,-9.841
17.133,-21.782,18.972,-9.800
17.167,-21.775,18.983,-9.795
17.200,-21.750,18.999,-9.794
17.233,-21.737,19.010,-9.809
17.267,-21.704,19.023,-9.816
17.300,-21.669,19.033,-9.829
17.333,-21.623,19.041,-9.851
17.367,-21.600,19.052,-9.884
17.400,-21.596,19.058,-9.884
17.433,-21.587,19.063,-9.893
17.467,-21.572,19.066,-9.900
17.500,-21.562,19.073,-9.925
17.533,-21.557,19.081,-9.942
17.567,-21.548,19.088,-9.941
17.600,-21.551,19.101,-9.938
17.633,-21.557,19.114,-9.950
17.667,-21.568,19.126,-9.951
17.700,-21.572,19.139,-9.953
17.733,-21.561,19.148,-9.965
17.767,-21.574,19.156,-9.985
17.800,-21.559,19.167,-9.958
17.833,-21.558,19.175,-9.926
17.867,-21.561,19.184,-9.921
17.900,-21.573,19.191,-9.918
17.933,-21.577,19.201,-9.933
17.967,-21.552,19.229,-9.929
18.000,-21.474,19.257,-9.944
18.033,-21.424,19.280,-9.918
18.067,-21.393,19.309,-9.877
18.100,-21.355,19.334,-9.834
18.133,-21.324,19.353,-9.827
18.167,-21.304,19.374,-9.772
18.200,-21.284,19.395,-9.739
18.233,-21.236,19.414,-9.744
18.267,-21.191,19.431,-9.705
18.300,-21.130,19.448,-9.675
18.333,-21.090,19.465,-9.657
18.367,-21.067,19.482,-9.661
18.400,-21.031,19.497,-9.674
18.433,-21.002,19.516,-9.658
18.467,-21.015,19.534,-9.580
18.500,-21.010,19.552,-9.577
18.533,-21.009,19.570,-9.568
18.567,-20.977,19.584,-9.611
18.600,-20.967,19.595,-9.580
18.633,-20.904,19.624,-9.619
18.667,-20.904,19.709,-9.963
18.700,-20.654,19.795,-9.255
18.767,-19.887,19.564,-9.605
18.800,-18.925,19.354,-9.723
18.833,-18.111,19.222,-9.823
18.867,-17.374,19.135,-9.847
18.900,-16.659,18.978,-9.885
18.933,-16.041,18.851,-9.904
18.967,-15.508,18.739,-9.925
19.000,-15.036,18.641,-10.032
19.033,-14.617,18.562,-10.064
19.067,-14.195,18.418,-10.081
19.100,-13.857,18.315,-10.139
19.133,-13.585,18.232,-10.109
19.167,-13.264,18.149,-10.104
19.200,-12.993,18.071,-10.100
19.233,-12.700,17.935,-10.071
19.267,-12.459,17.836,-10.111
19.300,-12.184,17.762,-10.099
19.333,-11.970,17.599,-10.134
19.367,-11.836,17.569,-10.091
19.400,-11.626,17.441,-10.074
19.433,-11.434,17.302,-10.143
19.467,-11.230,17.155,-10.147
19.500,-11.030,17.030,-10.133
19.533,-10.841,16.911,-10.083
19.567,-10.682,16.786,-10.021
19.600,-10.512,16.668,-9.937
19.633,-10.545,16.821,-9.912
19.667,-10.540,16.930,-9.826
19.700,-10.429,16.817,-9.732
19.733,-10.280,16.693,-9.697
19.767,-10.136,16.571,-9.688
19.800,-9.933,16.453,-9.740
19.833,-9.745,16.331,-9.775
19.867,-9.632,16.208,-9.780
19.900,-9.465,16.085,-9.775
19.933,-9.346,15.965,-9.683
19.967,-9.205,15.850,-9.800
20.000,-9.105,15.749,-9.817
20.033,-8.968,15.621,-9.777
20.067,-8.835,15.518,-9.799
20.100,-8.706,15.464,-9.818
20.133,-8.586,15.346,-9.825
20.167,-8.472,15.244,-9.874
20.200,-8.343,15.122,-9.854
20.233,-8.235,14.993,-9.869
20.267,-8.094,14.813,-9.909
20.300,-7.991,14.689,-9.954
20.333,-7.893,14.559,-10.030
20.367,-7.749,14.406,-10.085
20.400,-7.618,14.274,-10.149
20.433,-7.652,14.316,-10.134
20.467,-7.550,14.164,-10.096
20.500,-7.424,14.019,-10.104
20.533,-7.332,13.884,-10.055
20.567,-7.250,13.754,-9.984
20.600,-7.217,13.626,-9.943
20.633,-7.164,13.500,-9.912
20.667,-7.084,13.367,-9.845
20.700,-7.028,13.260,-9.882
20.733,-6.938,13.129,-9.811
20.767,-6.809,12.992,-9.889
20.800,-6.720,12.867,-9.959
20.833,-6.624,12.746,-10.029
20.867,-6.573,12.635,-10.067
20.900,-6.512,12.529,-10.076
20.933,-6.477,12.419,-10.045
20.967,-6.366,12.252,-10.057
21.000,-6.311,12.116,-10.096
21.033,-6.240,11.971,-10.142
21.067,-6.185,11.805,-10.210
21.100,-6.112,11.629,-10.232
21.133,-6.048,11.478,-10.245
21.167,-5.979,11.328,-10.228
21.200,-5.896,11.175,-10.204
21.233,-5.807,11.026,-10.249
21.267,-5.730,10.885,-10.200
21.300,-5.668,10.750,-10.256
21.333,-5.639,10.618,-10.268
21.367,-5.600,10.490,-10.282
21.400,-5.568,10.350,-10.283
21.433,-5.527,10.195,-10.278
21.467,-5.508,10.021,-10.296
21.500,-5.478,9.887,-10.315
21.533,-5.453,9.762,-10.337
21.567,-5.444,9.639,-10.319
21.600,-5.392,9.520,-10.339
21.633,-5.349,9.400,-10.357
21.667,-5.317,9.259,-10.371
21.700,-5.266,9.099,-10.384
21.733,-5.203,8.942,-10.401
21.767,-5.162,8.782,-10.444
21.800,-5.277,8.824,-10.445
21.833,-5.401,8.836,-10.450
21.867,-5.337,8.622,-10.444
21.900,-5.442,8.620,-10.362
21.933,-5.560,8.608,-10.319
21.967,-5.670,8.592,-10.254
22.000,-5.749,8.558,-10.282
22.033,-5.832,8.510,-10.314
22.067,-5.873,8.450,-10.338
22.100,-5.898,8.385,-10.331
22.133,-5.946,8.311,-10.347
22.167,-6.003,8.232,-10.311
22.200,-6.029,8.154,-10.305
22.233,-6.055,8.071,-10.278
22.267,-5.928,7.811,-10.270
22.300,-5.975,7.720,-10.340
22.333,-6.005,7.620,-10.422
22.367,-6.025,7.523,-10.518
22.400,-6.034,7.412,-10.550
22.433,-6.062,7.295,-10.587
22.467,-6.089,7.175,-10.622
22.500,-6.107,7.056,-10.649
22.533,-6.134,6.938,-10.641
22.567,-6.159,6.809,-10.653
22.600,-6.159,6.683,-10.619
22.633,-6.145,6.567,-10.644
22.667,-6.147,6.439,-10.596
22.700,-6.173,6.316,-10.602
22.733,-6.179,6.169,-10.581
22.767,-6.192,6.015,-10.574
22.800,-6.177,5.856,-10.629
22.833,-6.212,5.707,-10.674
22.867,-6.246,5.558,-10.705
22.900,-6.255,5.410,-10.653
22.933,-6.263,5.246,-10.674
22.967,-6.235,5.075,-10.713
23.000,-6.246,4.897,-10.731
23.033,-6.257,4.717,-10.696
23.067,-6.251,4.548,-10.649
23.100,-6.219,4.378,-10.662
23.133,-6.211,4.184,-10.674
23.167,-6.193,3.987,-10.731
23.200,-6.226,3.795,-10.739
23.233,-6.220,3.607,-10.720
23.267,-6.157,3.422,-10.690
23.300,-6.111,3.256,-10.660
23.333,-6.096,3.097,-10.648
23.367,-6.087,2.922,-10.589
23.400,-5.964,2.606,-10.582
23.433,-5.852,2.308,-10.606
23.467,-5.722,2.064,-10.658
23.500,-5.641,1.831,-10.687
23.533,-5.574,1.618,-10.694
23.567,-5.436,1.365,-10.661
23.600,-5.342,1.122,-10.629
23.633,-5.210,0.894,-10.529
23.667,-5.257,0.783,-10.460
23.700,-5.194,0.611,-10.449
23.733,-5.138,0.449,-10.402
23.767,-5.201,0.345,-10.427
23.800,-5.117,0.106,-10.417
23.833,-5.194,-0.007,-10.442
23.867,-5.245,-0.143,-10.516
23.900,-5.241,-0.329,-10.452
23.933,-5.189,-0.513,-10.458
23.967,-5.126,-0.699,-10.427
24.000,-5.089,-0.988,-10.386
24.033,-5.033,-1.148,-10.368
24.067,-5.010,-1.306,-10.335
24.100,-4.982,-1.461,-10.326
24.133,-4.943,-1.624,-10.301
24.167,-4.911,-1.783,-10.273
24.200,-4.875,-2.036,-10.301
24.233,-4.869,-2.177,-10.314
24.267,-4.869,-2.322,-10.284
24.300,-4.866,-2.464,-10.242
24.333,-4.931,-2.567,-10.208
24.367,-4.904,-2.716,-10.245
24.400,-4.854,-2.880,-10.333
24.500,-4.756,-3.062,-10.354
24.533,-4.737,-3.212,-10.275
24.567,-4.697,-3.368,-10.203
24.600,-4.677,-3.522,-10.116
24.633,-4.645,-3.679,-10.046
24.667,-4.547,-3.859,-9.983
24.700,-4.536,-4.021,-10.007
24.733,-4.479,-4.209,-9.997
24.767,-4.453,-4.391,-10.009
24.800,-4.409,-4.558,-10.024
24.833,-4.391,-4.719,-9.998
24.867,-4.392,-4.878,-9.921
24.900,-4.415,-5.045,-9.912
24.933,-4.457,-5.206,-9.946
25.000,-4.430,-5.386,-9.946
25.033,-4.415,-5.577,-9.938
25.100,-4.392,-5.775,-9.927
25.167,-4.393,-5.956,-10.010
25.200,-4.429,-6.115,-10.122
25.233,-4.452,-6.261,-10.224
25.267,-4.461,-6.392,-10.268
25.300,-4.469,-6.508,-10.289
25.333,-4.473,-6.620,-10.310
25.367,-4.459,-6.715,-10.334
25.400,-4.452,-6.797,-10.317
25.433,-4.446,-6.877,-10.342
25.467,-4.442,-6.945,-10.354
25.500,-4.461,-7.004,-10.325
25.533,-4.493,-7.058,-10.333
25.567,-4.501,-7.108,-10.354
25.600,-4.493,-7.155,-10.367
25.633,-4.479,-7.191,-10.370
25.667,-4.465,-7.227,-10.372
25.700,-4.486,-7.258,-10.367
25.733,-4.510,-7.278,-10.346
25.767,-4.506,-7.301,-10.302
25.800,-4.503,-7.316,-10.294
25.833,-4.491,-7.327,-10.236
25.867,-4.514,-7.334,-10.221
25.900,-4.528,-7.338,-10.182
25.933,-4.534,-7.334,-10.132
25.967,-4.561,-7.329,-10.116
26.000,-4.566,-7.320,-10.126
26.033,-4.560,-7.307,-10.059
26.200,-4.562,-7.260,-10.054
26.267,-4.559,-7.194,-10.089
26.300,-4.548,-7.127,-10.037
26.333,-4.512,-7.050,-10.033
26.367,-4.494,-6.968,-10.027
26.433,-4.480,-6.866,-10.025
26.467,-4.535,-6.756,-10.068
26.500,-4.566,-6.633,-10.044
26.533,-4.512,-6.549,-10.000
26.567,-4.544,-6.424,-9.900
26.600,-4.496,-6.323,-9.863
26.633,-4.444,-6.214,-9.854
26.667,-4.350,-6.101,-9.849
26.700,-4.320,-5.987,-9.846
26.733,-4.242,-5.903,-9.852
26.767,-4.164,-5.736,-9.863
26.800,-4.102,-5.560,-9.827
26.833,-4.029,-5.445,-9.877
26.867,-4.061,-5.306,-9.844
26.900,-3.995,-5.156,-9.868
26.933,-3.884,-5.058,-9.860
26.967,-3.755,-4.884,-9.866
27.000,-3.595,-4.719,-9.879
27.033,-3.478,-4.563,-9.902
27.067,-3.405,-4.479,-9.920
27.100,-3.367,-4.458,-9.897
27.133,-3.266,-4.342,-9.802
27.167,-3.182,-4.221,-9.820
27.200,-3.145,-4.105,-9.788
27.233,-3.071,-3.990,-9.738
27.267,-3.020,-3.881,-9.686
27.300,-2.946,-3.775,-9.661
27.333,-2.903,-3.664,-9.712
27.367,-2.854,-3.558,-9.692
27.400,-2.791,-3.445,-9.691
27.433,-2.740,-3.346,-9.675
27.467,-2.689,-3.241,-9.742
27.500,-2.611,-3.142,-9.696
27.533,-2.641,-2.984,-9.699
27.567,-2.652,-2.826,-9.785
27.600,-2.664,-2.640,-9.739
27.667,-2.532,-2.773,-9.752
27.700,-2.398,-2.614,-9.806
27.733,-2.263,-2.466,-9.789
27.767,-2.126,-2.326,-9.853
27.800,-2.000,-2.192,-9.903
27.833,-1.851,-2.324,-9.991
27.867,-1.663,-2.439,-10.059
27.900,-1.529,-2.532,-10.117
27.933,-1.410,-2.595,-10.167
27.967,-1.325,-2.629,-10.197
28.000,-1.248,-2.404,-10.240
28.033,-1.090,-2.245,-10.204
28.067,-0.992,-2.039,-10.215
28.100,-0.996,-1.841,-10.248
28.133,-0.912,-1.642,-10.257
28.167,-0.852,-1.602,-10.288
28.200,-0.731,-1.575,-10.283
