Time (sec),X (mm),Y (mm),Z (mm)
32.433,10.728,13.654,-10.352
32.467,10.835,13.805,-10.372
32.500,10.973,13.960,-10.305
32.533,11.093,14.090,-10.270
32.600,11.209,14.233,-10.241
32.667,11.359,14.368,-10.191
32.700,11.483,14.516,-10.107
32.733,11.601,14.680,-10.073
32.767,11.735,14.852,-10.003
32.800,11.871,14.998,-10.044
32.833,11.998,15.127,-10.112
32.867,12.141,15.273,-10.087
32.900,12.255,15.407,-10.098
33.133,12.360,15.520,-10.188
33.500,12.523,15.601,-10.609
33.533,12.619,15.730,-11.176
33.633,12.751,15.746,-10.650
33.667,12.887,15.745,-10.114
33.700,13.064,15.814,-9.477
33.733,13.192,15.862,-9.104
