Time (sec),Rotation_X (deg),Height_Z (mm)
7.933,0.535,1.381
7.967,0.535,1.381
8.000,0.535,1.381
8.033,0.535,1.381
8.067,0.535,1.381
8.100,0.535,1.381
8.133,0.535,1.381
8.167,0.535,1.381
8.200,0.535,1.381
8.233,0.535,1.381
8.267,0.203,0.720
8.300,0.203,0.720
8.333,0.203,0.720
8.367,-0.092,0.117
8.400,-0.092,0.117
8.433,-0.092,0.117
8.467,-0.092,0.117
8.500,-0.372,-0.418
8.533,-0.372,-0.418
8.567,-0.621,-0.899
8.600,-0.621,-0.899
8.633,-0.621,-0.899
8.667,-0.621,-0.899
8.700,-0.621,-0.899
8.733,-0.854,-1.331
8.767,-0.854,-1.331
8.800,-0.854,-1.331
8.833,-1.055,-1.721
8.867,-1.236,-2.071
8.900,-1.236,-2.071
8.933,-1.236,-2.071
8.967,-1.415,-2.377
9.000,-1.415,-2.377
9.033,-1.557,-2.674
9.067,-1.691,-2.939
9.100,-1.823,-3.174
9.133,-1.823,-3.174
9.167,-1.823,-3.174
9.200,-1.823,-3.174
9.233,-1.823,-3.174
9.267,-1.823,-3.174
9.300,-1.823,-3.174
9.333,-2.004,-3.321
9.367,-2.004,-3.321
9.400,-2.004,-3.321
9.433,-2.113,-3.505
9.467,-2.113,-3.505
9.500,-2.113,-3.505
9.533,-2.261,-3.632
9.567,-2.261,-3.632
9.600,-2.355,-3.781
9.633,-2.438,-3.925
9.667,-2.438,-3.925
9.700,-2.438,-3.925
9.733,-2.438,-3.925
9.767,-2.438,-3.925
9.800,-2.438,-3.925
9.833,-2.514,-4.065
9.867,-2.542,-4.284
9.900,-2.542,-4.284
9.933,-2.542,-4.284
9.967,-2.542,-4.284
10.000,-2.615,-4.388
10.033,-2.679,-4.489
10.067,-2.679,-4.489
10.100,-2.679,-4.489
10.133,-2.732,-4.577
10.167,-2.776,-4.658
10.200,-2.817,-4.729
10.233,-2.817,-4.729
10.267,-2.817,-4.729
10.300,-2.873,-4.761
10.333,-2.905,-4.805
10.367,-2.905,-4.805
10.400,-2.905,-4.805
10.433,-2.905,-4.805
10.467,-2.905,-4.805
10.500,-2.940,-4.838
10.533,-2.940,-4.838
10.567,-2.940,-4.838
10.600,-2.981,-4.844
10.633,-2.981,-4.844
10.667,-2.981,-4.844
10.700,-2.981,-4.844
10.733,-2.981,-4.844
10.767,-2.981,-4.844
10.800,-3.013,-4.859
10.833,-3.013,-4.859
10.867,-3.052,-4.854
10.900,-3.052,-4.854
10.933,-3.091,-4.856
10.967,-3.091,-4.856
11.000,-3.127,-4.866
11.033,-3.127,-4.866
11.067,-3.127,-4.866
11.100,-3.127,-4.866
11.133,-3.127,-4.866
11.167,-3.127,-4.866
11.200,-3.127,-4.866
11.233,-3.127,-4.866
11.267,-3.151,-4.876
11.300,-3.151,-4.876
11.333,-3.151,-4.876
11.367,-3.177,-4.879
11.400,-3.198,-4.876
11.433,-3.220,-4.878
11.467,-3.220,-4.878
11.500,-3.220,-4.878
11.533,-3.220,-4.878
11.567,-3.246,-4.879
11.600,-3.246,-4.879
11.633,-3.269,-4.880
11.667,-3.294,-4.875
11.700,-3.294,-4.875
11.733,-3.294,-4.875
11.767,-3.294,-4.875
11.800,-3.317,-4.874
11.833,-3.317,-4.874
11.867,-3.342,-4.872
11.900,-3.342,-4.872
11.933,-3.342,-4.872
11.967,-3.342,-4.872
12.000,-3.368,-4.866
12.033,-3.388,-4.864
12.067,-3.388,-4.864
12.100,-3.388,-4.864
12.133,-3.388,-4.864
12.167,-3.408,-4.869
12.200,-3.408,-4.869
12.233,-3.427,-4.871
12.267,-3.441,-4.868
12.300,-3.456,-4.866
12.333,-3.456,-4.866
12.367,-3.456,-4.866
12.400,-3.472,-4.870
12.433,-3.486,-4.866
12.467,-3.486,-4.866
12.500,-3.496,-4.868
12.533,-3.496,-4.868
12.567,-3.496,-4.868
12.600,-3.496,-4.868
12.633,-3.496,-4.868
12.667,-3.500,-4.837
12.700,-3.506,-4.795
12.733,-3.506,-4.795
12.767,-3.509,-4.749
12.800,-3.506,-4.717
12.833,-3.506,-4.717
12.867,-3.507,-4.689
12.900,-3.515,-4.661
12.933,-3.515,-4.640
12.967,-3.515,-4.640
13.000,-3.515,-4.640
13.033,-3.515,-4.640
13.067,-3.515,-4.640
13.100,-3.512,-4.622
13.133,-3.512,-4.622
13.167,-3.512,-4.622
13.200,-3.504,-4.611
13.233,-3.504,-4.611
13.267,-3.494,-4.612
13.300,-3.494,-4.612
13.333,-3.494,-4.612
13.367,-3.494,-4.612
13.400,-3.494,-4.612
13.433,-3.494,-4.612
13.467,-3.494,-4.612
13.500,-3.482,-4.608
13.533,-3.482,-4.608
13.567,-3.474,-4.605
13.600,-3.468,-4.608
13.633,-3.463,-4.605
13.667,-3.464,-4.596
13.700,-3.464,-4.596
13.733,-3.464,-4.596
13.767,-3.464,-4.596
13.800,-3.464,-4.591
13.833,-3.456,-4.599
13.867,-3.456,-4.599
13.900,-3.456,-4.599
13.933,-3.444,-4.598
13.967,-3.444,-4.598
14.000,-3.444,-4.598
14.033,-3.428,-4.601
14.067,-3.417,-4.601
14.100,-3.403,-4.599
14.133,-3.403,-4.599
14.167,-3.387,-4.596
14.200,-3.371,-4.595
14.233,-3.371,-4.595
14.267,-3.361,-4.593
14.300,-3.356,-4.587
14.333,-3.356,-4.587
14.367,-3.349,-4.589
14.400,-3.349,-4.589
14.433,-3.340,-4.591
14.467,-3.334,-4.594
14.500,-3.334,-4.594
14.533,-3.326,-4.600
14.567,-3.326,-4.600
14.600,-3.320,-4.598
14.633,-3.320,-4.598
14.667,-3.321,-4.595
14.700,-3.321,-4.595
14.733,-3.316,-4.599
14.767,-3.314,-4.598
14.800,-3.314,-4.598
14.833,-3.308,-4.599
14.867,-3.308,-4.599
14.900,-3.302,-4.604
14.933,-3.302,-4.604
14.967,-3.293,-4.612
15.000,-3.293,-4.612
15.033,-3.293,-4.612
15.067,-3.293,-4.612
15.100,-3.284,-4.621
15.133,-3.284,-4.621
15.167,-3.284,-4.621
15.200,-3.284,-4.621
15.233,-3.277,-4.633
15.267,-3.277,-4.643
15.300,-3.275,-4.647
15.333,-3.275,-4.647
15.367,-3.275,-4.647
15.400,-3.275,-4.647
15.433,-3.269,-4.646
15.467,-3.269,-4.646
15.500,-3.269,-4.646
15.533,-3.269,-4.646
15.567,-3.269,-4.646
15.600,-3.269,-4.646
15.633,-3.269,-4.646
15.667,-3.258,-4.657
15.700,-3.258,-4.657
15.733,-3.247,-4.665
15.767,-3.247,-4.665
15.800,-3.239,-4.672
15.833,-3.239,-4.672
15.867,-3.239,-4.672
15.900,-3.239,-4.672
15.933,-3.239,-4.672
15.967,-3.239,-4.672
16.000,-3.239,-4.672
16.033,-3.239,-4.672
16.067,-3.227,-4.678
16.100,-3.221,-4.686
16.133,-3.216,-4.686
16.167,-3.211,-4.693
16.200,-3.210,-4.689
16.233,-3.210,-4.689
16.267,-3.210,-4.689
16.300,-3.203,-4.687
16.333,-3.196,-4.678
16.367,-3.196,-4.678
16.400,-3.183,-4.674
16.433,-3.171,-4.663
16.467,-3.171,-4.663
16.500,-3.171,-4.663
16.533,-3.171,-4.663
16.567,-3.171,-4.663
16.600,-3.160,-4.651
16.633,-3.160,-4.651
16.667,-3.160,-4.651
16.700,-3.160,-4.651
16.733,-3.160,-4.651
16.767,-3.156,-4.632
16.800,-3.156,-4.632
16.833,-3.156,-4.632
16.867,-3.156,-4.632
16.900,-3.156,-4.632
16.933,-3.156,-4.632
16.967,-3.149,-4.618
17.000,-3.140,-4.609
17.033,-3.126,-4.608
17.067,-3.126,-4.608
17.100,-3.116,-4.604
17.133,-3.116,-4.604
17.167,-3.116,-4.604
17.200,-3.110,-4.598
17.233,-3.104,-4.593
17.267,-3.104,-4.593
17.300,-3.104,-4.593
17.333,-3.094,-4.593
17.367,-3.094,-4.593
17.400,-3.094,-4.593
17.433,-3.094,-4.593
17.467,-3.094,-4.593
17.500,-3.087,-4.591
17.533,-3.087,-4.591
17.567,-3.087,-4.591
17.600,-3.084,-4.585
17.633,-3.084,-4.585
17.667,-3.080,-4.579
17.700,-3.078,-4.573
17.733,-3.074,-4.571
17.767,-3.074,-4.571
17.800,-3.074,-4.571
17.833,-3.074,-4.571
17.867,-3.072,-4.566
17.900,-3.070,-4.561
17.933,-3.068,-4.559
17.967,-3.068,-4.559
18.000,-3.059,-4.561
18.033,-3.059,-4.561
18.067,-3.062,-4.559
18.100,-3.064,-4.557
18.133,-3.063,-4.559
18.167,-3.063,-4.559
18.200,-3.065,-4.554
18.233,-3.065,-4.554
18.267,-3.065,-4.554
18.300,-3.065,-4.554
18.333,-3.065,-4.554
18.367,-3.065,-4.554
18.400,-3.060,-4.552
18.433,-3.058,-4.547
18.467,-3.066,-4.537
18.500,-3.066,-4.537
18.533,-3.066,-4.537
18.567,-3.061,-4.547
18.600,-3.061,-4.547
18.633,-3.057,-4.553
18.667,-3.057,-4.553
18.700,-3.057,-4.553
18.733,-3.057,-4.553
18.767,-3.057,-4.553
18.800,-3.057,-4.553
18.833,-3.057,-4.553
18.867,-3.057,-4.553
18.900,-3.057,-4.553
18.933,-3.046,-4.622
18.967,-3.038,-4.683
19.000,-3.026,-4.745
19.033,-3.051,-4.836
19.067,-3.037,-4.869
19.100,-3.021,-4.903
19.133,-3.021,-4.903
19.167,-3.021,-4.903
19.200,-3.010,-4.928
19.233,-3.010,-4.928
19.267,-3.010,-4.928
19.300,-3.010,-4.928
19.333,-2.999,-4.955
19.367,-2.995,-4.973
19.400,-2.992,-4.987
19.433,-2.981,-5.010
19.467,-2.975,-5.028
19.500,-2.971,-5.040
19.533,-2.971,-5.040
19.567,-2.973,-5.046
19.600,-2.972,-5.054
19.633,-2.972,-5.054
19.667,-2.977,-5.056
19.700,-2.977,-5.056
19.733,-2.978,-5.059
19.767,-2.978,-5.059
19.800,-2.964,-5.063
19.833,-2.964,-5.063
19.867,-2.964,-3.097
19.900,-2.964,-3.097
19.933,-2.964,-3.097
19.967,-2.964,-3.097
20.000,-2.956,-3.297
20.033,-2.956,-3.297
20.067,-2.956,-3.297
20.100,-2.956,-3.297
20.133,-2.956,-3.297
20.167,-2.956,-3.297
20.200,-2.951,-3.481
20.233,-2.939,-3.645
20.267,-2.939,-3.645
20.300,-2.939,-3.645
20.333,-2.926,-3.793
20.367,-2.926,-3.793
20.400,-2.926,-3.793
20.433,-2.926,-3.793
20.467,-2.926,-3.793
20.500,-2.913,-3.918
20.533,-2.913,-3.918
20.567,-2.913,-3.918
20.600,-2.913,-3.918
20.633,-2.913,-3.918
20.667,-2.913,-3.918
20.700,-2.913,-3.918
20.733,-2.913,-3.918
20.767,-2.913,-3.918
20.800,-2.897,-4.038
20.833,-2.897,-4.038
20.867,-2.887,-4.144
20.900,-2.887,-4.144
20.933,-2.887,-4.144
20.967,-2.887,-4.144
21.000,-2.887,-4.144
21.033,-2.887,-4.144
21.067,-2.887,-4.144
21.100,-2.887,-4.144
21.133,-2.887,-4.144
21.167,-2.887,-4.144
21.200,-2.890,-4.257
21.233,-2.890,-4.257
21.267,-2.890,-4.257
21.300,-2.890,-4.257
21.333,-2.890,-4.257
21.367,-2.890,-4.257
21.400,-2.890,-4.257
21.433,-2.890,-4.257
21.467,-2.895,-4.373
21.500,-2.895,-4.373
21.533,-2.899,-4.474
21.567,-2.899,-4.474
21.600,-2.899,-4.474
21.633,-2.899,-4.474
21.667,-2.905,-4.573
21.700,-2.905,-4.573
21.733,-2.912,-4.664
21.767,-2.912,-4.664
21.800,-2.915,-4.735
21.833,-2.918,-4.800
21.867,-2.918,-4.800
21.900,-2.918,-4.800
21.933,-2.918,-4.800
21.967,-2.933,-4.848
22.000,-2.938,-4.901
22.033,-2.942,-4.947
22.067,-2.942,-4.947
22.100,-2.944,-4.992
22.133,-2.950,-5.030
22.167,-2.950,-5.030
22.200,-2.950,-5.030
22.233,-2.950,-5.030
22.267,-2.950,-5.030
22.300,-2.950,-5.030
22.333,-2.950,-5.030
22.367,-2.950,-5.030
22.400,-2.948,-5.067
22.433,-2.948,-5.067
22.467,-2.948,-5.067
22.500,-2.949,-5.101
22.533,-2.949,-5.101
22.567,-2.949,-5.101
22.600,-2.955,-5.128
22.633,-2.958,-5.158
22.667,-2.967,-5.179
22.700,-2.972,-5.203
22.733,-2.972,-5.203
22.767,-2.972,-5.203
22.800,-2.973,-5.224
22.833,-2.973,-5.224
22.867,-2.973,-5.224
22.900,-2.987,-5.242
22.933,-2.994,-5.265
22.967,-2.994,-5.265
23.000,-2.999,-5.279
23.033,-3.008,-5.289
23.067,-3.017,-5.297
23.100,-3.017,-5.297
23.133,-3.017,-5.297
23.167,-3.018,-5.313
23.200,-3.024,-5.317
23.233,-3.024,-5.317
23.267,-3.020,-5.318
23.300,-3.018,-5.315
23.333,-3.018,-5.315
23.367,-3.018,-5.315
23.400,-3.018,-5.315
23.433,-3.018,-5.315
23.467,-3.018,-5.315
23.500,-3.018,-5.315
23.533,-3.013,-5.310
23.567,-3.014,-5.299
23.600,-3.014,-5.299
23.633,-3.014,-5.299
23.667,-3.017,-5.288
23.700,-3.017,-5.288
23.733,-3.023,-5.277
23.767,-3.023,-5.277
23.800,-3.027,-5.284
23.833,-3.027,-5.284
23.867,-3.027,-5.292
23.900,-3.027,-5.292
23.933,-3.031,-5.287
23.967,-3.032,-5.285
24.000,-3.037,-5.274
24.033,-3.037,-5.274
24.067,-3.037,-5.274
24.100,-3.037,-5.274
24.133,-3.037,-5.274
24.167,-3.037,-5.274
24.200,-3.033,-5.270
24.233,-3.033,-5.270
24.267,-3.033,-5.270
24.300,-3.037,-5.255
24.333,-3.036,-5.243
24.367,-3.033,-5.236
24.400,-3.023,-5.234
24.500,-3.017,-5.226
24.533,-3.017,-5.226
24.567,-3.018,-5.208
24.600,-3.025,-5.196
24.633,-3.027,-5.185
24.667,-3.027,-5.185
24.700,-3.027,-5.185
24.733,-3.027,-5.185
24.767,-3.027,-5.185
24.800,-3.027,-5.185
24.833,-3.027,-5.185
24.867,-3.027,-5.185
24.900,-3.021,-5.170
24.933,-3.021,-5.170
25.000,-3.021,-5.170
25.033,-3.021,-5.170
25.100,-3.012,-5.150
25.167,-3.012,-5.150
25.200,-3.012,-5.150
25.233,-3.012,-5.150
25.267,-3.018,-5.158
25.300,-3.025,-5.163
25.333,-3.025,-5.163
25.367,-3.029,-5.167
25.400,-3.029,-5.167
25.433,-3.029,-5.167
25.467,-3.029,-5.167
25.500,-3.029,-5.167
25.533,-3.029,-5.167
25.567,-3.029,-5.167
25.600,-3.029,-5.167
25.633,-3.029,-5.167
25.667,-3.031,-5.167
25.700,-3.037,-5.163
25.733,-3.037,-5.163
25.767,-3.037,-5.163
25.800,-3.037,-5.163
25.833,-3.037,-5.163
25.867,-3.036,-5.139
25.900,-3.036,-5.139
25.933,-3.031,-5.109
25.967,-3.031,-5.109
26.000,-3.026,-5.083
26.033,-3.026,-5.083
26.200,-3.017,-5.048
26.267,-3.003,-5.021
26.300,-2.996,-4.987
26.333,-2.987,-4.959
26.367,-2.976,-4.931
26.433,-2.976,-4.931
26.467,-2.976,-4.931
26.500,-2.976,-4.931
26.533,-2.976,-4.931
26.567,-2.976,-4.931
26.600,-2.976,-4.931
26.633,-2.976,-4.931
26.667,-2.968,-4.916
26.700,-2.968,-4.916
26.733,-2.966,-4.913
26.767,-2.966,-4.913
26.800,-2.966,-4.913
26.833,-2.966,-4.913
26.867,-2.966,-4.913
26.900,-2.966,-4.913
26.933,-2.966,-4.913
26.967,-2.966,-4.913
27.000,-2.966,-4.913
27.033,-2.966,-4.913
27.067,-2.955,-4.907
27.100,-2.955,-4.907
27.133,-2.955,-4.907
27.167,-2.955,-4.907
27.200,-2.955,-4.907
27.233,-2.958,-4.906
27.267,-2.958,-4.907
27.300,-2.955,-4.914
27.333,-2.955,-4.914
27.367,-2.955,-4.914
27.400,-2.954,-4.916
27.433,-2.950,-4.917
27.467,-2.940,-4.929
27.500,-2.940,-4.929
27.533,-2.940,-4.929
27.567,-2.940,-4.929
27.600,-2.940,-4.929
27.667,-2.940,-4.929
27.700,-2.940,-4.929
27.733,-2.940,-4.929
27.767,-2.940,-4.929
27.800,-2.940,-4.929
27.833,-2.940,-4.929
27.867,-2.940,-4.929
27.900,-2.940,-4.929
27.933,-2.940,-4.929
27.967,-2.930,-4.947
28.000,-2.917,-4.964
28.033,-2.911,-4.977
28.067,-2.898,-4.992
28.100,-2.898,-4.992
28.133,-2.890,-5.004
28.167,-2.890,-5.004
28.200,-2.890,-5.004
28.233,-2.895,-5.008
28.267,-2.885,-5.023
28.300,-2.885,-5.023
28.333,-2.885,-5.023
28.367,-2.869,-5.041
28.400,-2.871,-5.061
28.433,-2.867,-5.078
28.467,-2.862,-5.098
28.500,-2.862,-5.098
28.533,-2.862,-5.098
28.567,-2.862,-5.098
28.600,-2.862,-5.098
28.633,-2.853,-5.109
28.667,-2.853,-5.109
28.700,-2.851,-5.122
28.733,-2.851,-5.122
28.767,-2.851,-5.122
28.800,-2.853,-5.151
28.833,-2.853,-5.151
28.867,-2.853,-5.151
28.900,-2.853,-5.151
28.933,-2.853,-5.151
28.967,-2.847,-5.171
29.000,-2.841,-5.192
29.033,-2.841,-5.192
29.067,-2.835,-5.209
29.100,-2.840,-5.212
29.133,-2.840,-5.212
29.167,-2.840,-5.212
29.200,-2.840,-5.212
29.233,-2.835,-5.217
29.267,-2.835,-5.217
29.300,-2.835,-5.217
29.333,-2.835,-5.217
29.367,-2.835,-5.217
29.400,-2.832,-5.232
29.433,-2.825,-5.243
29.467,-2.816,-5.251
29.500,-2.816,-5.251
29.533,-2.816,-5.251
29.567,-2.806,-5.252
29.600,-2.799,-5.246
29.633,-2.799,-5.246
29.667,-2.799,-5.246
29.700,-2.799,-5.250
29.733,-2.799,-5.250
29.767,-2.799,-5.250
29.800,-2.787,-5.260
29.833,-2.786,-5.262
29.867,-2.786,-5.262
29.900,-2.778,-5.264
29.933,-2.778,-5.264
29.967,-2.778,-5.264
30.000,-2.778,-5.264
30.033,-2.778,-5.264
30.067,-2.770,-5.254
30.100,-2.770,-5.254
30.133,-2.770,-5.254
30.167,-2.766,-5.253
30.200,-2.766,-5.253
30.233,-2.757,-5.251
30.267,-2.757,-5.251
30.300,-2.757,-5.251
30.333,-2.754,-5.249
30.367,-2.754,-5.249
30.400,-2.754,-5.249
30.433,-2.754,-5.249
30.467,-2.754,-5.249
30.500,-2.754,-5.249
30.533,-2.754,-5.249
30.567,-2.754,-5.249
30.600,-2.754,-5.249
30.633,-2.754,-5.249
30.667,-2.754,-5.249
30.700,-2.757,-5.261
30.733,-2.757,-5.261
30.767,-2.745,-5.271
30.800,-2.743,-5.273
30.833,-2.743,-5.273
30.867,-2.743,-5.273
30.900,-2.743,-5.273
30.933,-2.738,-5.278
30.967,-2.738,-5.278
31.000,-2.738,-5.278
31.033,-2.729,-5.280
31.067,-2.729,-5.280
31.100,-2.715,-5.291
31.133,-2.712,-5.302
31.167,-2.712,-5.302
31.200,-2.701,-5.323
31.233,-2.690,-5.344
31.300,-2.688,-5.354
31.333,-2.684,-5.365
31.367,-2.684,-5.365
31.400,-2.684,-5.365
31.433,-2.684,-5.365
31.467,-2.684,-5.365
31.500,-2.684,-5.365
31.533,-2.684,-5.365
31.567,-2.684,-5.365
31.600,-2.684,-5.365
31.633,-2.684,-5.365
31.667,-2.681,-5.379
31.733,-2.681,-5.379
31.767,-2.681,-5.379
31.867,-2.681,-5.379
31.900,-2.677,-5.386
31.933,-2.677,-5.386
31.967,-2.677,-5.386
32.000,-2.676,-5.394
32.067,-2.675,-5.402
32.100,-2.677,-5.405
32.133,-2.664,-5.419
32.167,-2.660,-5.422
32.200,-2.660,-5.422
32.267,-2.656,-5.430
32.300,-2.656,-5.430
32.333,-2.656,-5.430
32.367,-2.643,-5.444
32.433,-2.643,-5.444
32.467,-2.643,-5.444
32.500,-2.643,-5.444
32.533,-2.643,-5.444
32.600,-2.643,-5.444
32.667,-2.643,-5.444
32.700,-2.643,-5.444
32.733,-2.643,-5.444
32.767,-2.643,-5.444
32.800,-2.638,-5.455
32.833,-2.638,-5.455
32.867,-2.638,-5.455
32.900,-2.618,-5.446
33.133,-2.618,-5.446
33.500,-2.618,-5.446
33.533,-2.618,-5.446
33.633,-2.618,-5.446
33.667,-2.618,-5.441
33.700,-2.618,-5.441
33.733,-2.618,-5.441
41.867,-2.618,-5.441
41.900,-2.643,-5.467
55.733,-2.643,-5.467
55.867,-2.643,-5.467
55.900,-2.620,-5.371
55.967,-2.604,-5.281
56.000,-2.604,-5.281
56.033,-2.582,-5.209
56.100,-2.573,-5.135
56.133,-2.573,-5.135
58.167,-2.573,-5.135
58.567,-2.573,-5.135
58.600,-2.587,-5.070
58.700,-2.593,-5.012
58.733,-2.593,-4.965
58.800,-2.593,-4.965
58.833,-2.593,-4.965
58.867,-2.593,-4.965
58.900,-2.593,-4.965
59.000,-2.593,-4.965
59.033,-2.593,-4.965
59.133,-2.593,-4.965
59.167,-2.600,-4.914
59.200,-2.600,-4.914
59.300,-2.609,-4.861
59.333,-2.609,-4.861
59.367,-2.609,-4.861
59.400,-2.609,-4.861
59.467,-2.622,-4.812
59.533,-2.622,-4.812
59.567,-2.622,-4.812
59.600,-2.622,-4.812
59.667,-2.629,-4.770
59.700,-2.629,-4.770
59.833,-2.641,-4.733
59.867,-2.641,-4.733
60.000,-2.641,-4.733
60.133,-2.641,-4.733
60.167,-2.641,-4.733
60.200,-2.667,-4.674
60.267,-2.667,-4.674
60.567,-2.667,-4.674
60.700,-2.667,-4.674
60.733,-2.726,-4.568
60.767,-2.777,-4.470
60.800,-2.777,-4.470
60.833,-2.828,-4.380
60.867,-2.864,-4.310
60.900,-2.864,-4.310
60.933,-2.898,-4.240
60.967,-2.898,-4.240
61.000,-2.898,-4.240
61.033,-2.898,-4.240
61.067,-2.898,-4.240
61.100,-2.898,-4.240
61.133,-2.934,-4.198
61.167,-2.971,-4.169
61.200,-2.971,-4.169
61.233,-2.971,-4.169
61.267,-2.971,-4.169
61.300,-2.971,-4.169
61.333,-2.971,-4.169
61.367,-3.008,-4.157
61.400,-3.041,-4.142
61.433,-3.041,-4.142
61.467,-3.065,-4.135
61.500,-3.065,-4.135
61.533,-3.091,-4.124
61.567,-3.091,-4.124
61.600,-3.091,-4.124
61.633,-3.119,-4.119
61.667,-3.135,-4.121
61.700,-3.135,-4.121
61.733,-3.151,-4.127
61.767,-3.151,-4.127
61.800,-3.151,-4.127
61.833,-3.178,-4.125
61.867,-3.202,-4.127
61.900,-3.219,-4.145
61.933,-3.219,-4.145
61.967,-3.219,-2.424
62.000,-3.219,-2.424
62.033,-3.219,-2.424
62.067,-3.241,-2.615
62.100,-3.241,-2.615
62.133,-3.241,-2.615
62.167,-3.262,-2.786
62.200,-3.262,-2.786
62.233,-3.262,-2.786
62.267,-3.262,-2.786
62.300,-3.262,-2.786
62.333,-3.262,-2.786
62.367,-3.285,-2.950
62.400,-3.285,-2.950
62.433,-3.285,-2.950
62.467,-3.285,-2.950
62.500,-3.304,-3.104
62.533,-3.304,-3.104
62.567,-3.304,-3.104
62.600,-3.318,-3.247
62.633,-3.318,-3.247
62.667,-3.332,-3.385
62.700,-3.332,-3.385
62.733,-3.332,-3.385
62.767,-3.346,-3.499
62.800,-3.356,-3.605
62.833,-3.356,-3.605
62.867,-3.356,-3.605
62.900,-3.366,-3.710
62.933,-3.374,-3.808
62.967,-3.374,-3.808
63.000,-3.374,-3.808
63.033,-3.374,-3.808
63.067,-3.374,-3.808
63.100,-3.374,-3.808
63.133,-3.387,-3.899
63.167,-3.387,-3.899
63.200,-3.387,-3.899
63.233,-3.387,-3.899
63.267,-3.399,-3.981
63.300,-3.399,-3.981
63.333,-3.403,-4.056
63.367,-3.403,-4.056
63.400,-3.403,-4.056
63.433,-3.403,-4.056
63.467,-3.413,-4.134
63.500,-3.422,-4.200
63.533,-3.434,-4.267
63.567,-3.434,-4.267
63.600,-3.443,-4.333
63.633,-3.443,-4.333
63.667,-3.454,-4.393
63.700,-3.454,-4.393
63.733,-3.454,-4.393
63.767,-3.457,-4.448
63.800,-3.458,-4.496
63.833,-3.456,-4.540
63.867,-3.456,-4.540
63.900,-3.456,-4.540
63.933,-3.456,-4.540
63.967,-3.456,-4.540
64.000,-3.457,-4.593
64.033,-3.456,-4.645
64.067,-3.453,-4.692
64.100,-3.453,-4.692
64.133,-3.453,-4.692
64.167,-3.453,-4.692
64.200,-3.457,-4.716
64.233,-3.457,-4.737
64.267,-3.453,-4.759
64.300,-3.453,-4.759
64.333,-3.453,-4.759
64.367,-3.453,-4.759
64.400,-3.446,-4.771
64.433,-3.443,-4.778
64.467,-3.441,-4.789
64.500,-3.439,-4.794
64.533,-3.435,-4.811
64.567,-3.435,-4.811
64.600,-3.435,-4.811
64.633,-3.432,-4.815
64.667,-3.432,-4.815
64.700,-3.432,-4.815
64.733,-3.432,-4.815
64.767,-3.434,-4.824
64.800,-3.434,-4.824
64.833,-3.434,-4.824
64.867,-3.434,-4.824
64.900,-3.419,-4.797
64.933,-3.419,-4.797
64.967,-3.419,-4.797
65.000,-3.419,-4.797
65.033,-3.419,-4.797
65.067,-3.419,-4.797
65.100,-3.419,-4.797
65.133,-3.419,-4.797
65.167,-3.419,-4.797
