Time (sec),Rotation_X (deg),Height_Z (mm)
0.333,0.000,0.000
0.400,0.000,0.000
0.533,0.000,0.000
0.567,0.000,0.000
0.600,-0.010,0.010
0.767,-0.012,0.012
1.033,-0.012,0.012
1.067,-0.011,0.009
1.300,-0.015,0.014
1.333,-0.015,0.014
1.500,-0.012,0.009
1.600,-0.012,0.009
1.633,-0.014,0.010
1.667,-0.014,0.010
1.700,-0.014,0.010
1.767,-0.014,0.010
1.800,-0.018,0.015
1.867,-0.019,0.017
2.100,-0.019,0.017
2.167,-0.029,0.028
2.200,-0.039,0.038
2.233,-0.043,0.042
2.267,-0.043,0.042
2.300,-0.042,0.037
2.333,-0.042,0.037
2.533,-0.042,0.037
2.567,-0.042,0.037
2.600,-0.048,0.047
2.700,-0.048,0.047
2.733,-0.048,0.044
2.767,-0.048,0.044
2.833,-0.048,0.044
2.933,-0.048,0.044
2.967,-0.048,0.044
3.033,-0.048,0.044
3.067,-0.048,0.044
3.100,-0.046,0.042
3.133,-0.046,0.042
3.767,-0.052,0.046
3.833,-0.052,0.046
3.867,-0.052,0.046
4.167,-0.052,0.047
4.533,-0.052,0.047
4.567,0.844,1.629
4.600,0.844,1.629
4.633,0.844,1.629
4.667,1.637,3.062
4.700,1.637,3.062
4.733,1.637,3.062
4.767,1.637,3.062
4.800,2.298,4.236
4.833,2.298,4.236
4.867,2.298,4.236
4.900,2.298,4.236
4.933,2.827,5.159
4.967,3.288,5.977
5.000,3.689,6.673
5.033,3.689,6.673
5.067,3.689,6.673
5.100,3.689,6.673
5.133,3.689,6.673
5.167,3.689,6.673
5.233,3.689,6.917
5.267,3.689,6.917
5.300,3.897,7.243
5.333,4.058,7.515
5.367,4.058,7.855
5.400,4.058,7.855
5.433,4.058,7.855
5.467,4.058,7.855
5.500,4.058,7.855
5.533,4.058,7.855
5.567,4.058,7.855
5.600,4.087,7.812
5.633,4.087,7.812
5.667,4.099,7.798
5.700,4.099,7.798
5.733,4.099,8.646
5.767,4.058,8.421
5.800,4.058,8.421
5.833,3.982,8.179
5.867,3.901,7.945
5.967,3.901,7.945
7.133,3.901,7.945
7.167,3.273,6.713
7.333,2.693,5.583
7.467,2.693,5.583
7.500,2.164,4.565
7.533,1.693,3.652
7.567,1.693,3.652
7.633,1.270,2.820
7.667,0.887,2.068
7.767,0.887,2.068
7.800,0.535,1.381
7.867,0.535,1.381
7.900,0.535,1.381
